ep_id	date	channel	hypothesis_id	seed	template	review_loops	cost_usd	retention_rate	ctr	views_7d	verdict
ep_test	2026-04-11	tech-geopolitics	null	null	-	0	0.00	0.0	0.0	35	PENDING
ep006	2026-04-20	tech-geopolitics	null	null	-	0	0.00	26.1	0.0	828	PENDING
ep007	2026-04-20	tech-geopolitics	null	null	-	0	0.00	79.9	0.0	116	PENDING
ep008	2026-04-25	tech-geopolitics	null	null	-	0	0.00	23.5	0.0	63	PENDING
ep009	2026-04-26	tech-geopolitics	null	null	-	0	0.00	0.0	0.0	354	PENDING
ep009_shorts	2026-04-26	tech-geopolitics	null	null	-	0	0.00	69.6	0.0	9	PENDING
ep010	2026-04-29	tech-geopolitics	null	null	-	0	0.00	34.9	0.0	6	PENDING
ep011	2026-05-01	tech-geopolitics	null	null	-	0	0.00	1.8	0.0	240	PENDING
ep012	2026-05-03	tech-geopolitics	null	null	-	0	0.00	42.7	0.0	77	PENDING
ep013	2026-05-04	tech-geopolitics	null	null	-	0	0.00	26.9	0.0	785	PENDING
ep014	2026-05-06	tech-geopolitics	null	null	-	0	0.00	11.1	0.0	24	PENDING
ep017	2026-05-22	tech-geopolitics	null	null	-	0	0.00	24.8	0.0	17	PENDING
ep017_shorts	2026-05-22	tech-geopolitics	null	null	-	0	0.00	26.6	0.0	38	PENDING
ep018	2026-05-23	tech-geopolitics	null	null	-	0	0.00	28.5	0.0	11	PENDING
ep019	2026-05-28	tech-geopolitics	null	null	-	0	0.00	0.0	0.0	0	PENDING
ep020	2026-05-30	tech-geopolitics	null	null	-	0	0.00	36.1	0.0	37	PENDING
ep021	2026-05-30	tech-geopolitics	null	null	-	0	0.00	24.7	0.0	95	PENDING
ep021_shorts	2026-05-30	tech-geopolitics	null	null	-	0	0.00	45.2	0.0	410	PENDING
ep022	2026-05-31	tech-geopolitics	null	null	-	0	0.00	28.4	0.0	711	PENDING
ep022_shorts	2026-06-02	tech-geopolitics	null	null	-	0	0.00	47.8	0.0	950	PENDING
ep023	2026-06-02	tech-geopolitics	null	null	-	0	0.00	26.0	0.0	127	PENDING
ep023_shorts	2026-06-02	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep024_shorts	2026-06-03	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep024	2026-06-03	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep025	2026-06-06	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep025_shorts	2026-06-06	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep026	2026-06-07	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
ep026_shorts	2026-06-07	tech-geopolitics	null	null	-	0	0.00	PENDING	PENDING	PENDING	PENDING
